center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
1,0.0,,108,108,0,,,,,,,,,,c+1,noss,0,right,1.1543561660000705,None,None,,,,,,,,,,,0,108,108,895,713.4347983330008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.4264952919984,713.4347983330008,713.9248224580006,713.9248224580006,713.9994541670021,713.9994541670021,714.6017140420008,right,1.1543561660000705,None,714.6018475419987,714.6019020000022,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-1,0.0,,109,109,0,,,,,,,,,,c-1,noss,0,left,1.1887006670003757,None,None,,,,,,,,,,,0,109,109,803,714.6121077080024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.6039757920007,714.6121077080024,715.0988570420013,715.0988570420013,715.1711226670013,715.1711226670013,715.8071115420025,left,1.1887006670003757,None,715.8072174999979,715.807263374998,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
4,15.0,,110,110,0,,,,,,,,,,c+4,poss,100,right,1.1160966250026831,None,None,,,,,,,,,,,0,110,110,195,715.8173774579991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.809228750004,715.8173774579991,716.3084295419976,716.3084295419976,716.3828420420032,716.3828420420032,716.9361764580026,right,1.1160966250026831,None,716.9364423750012,716.9365321669975,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
4,15.0,,111,111,0,,,,,,,,,,c+4,poss,100,right,1.3148274589984794,None,None,,,,,,,,,,,0,111,111,189,716.9471652080028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.9389717079976,716.9471652080028,717.4323403750022,717.4323403750022,717.5053867500028,717.5053867500028,718.2683024170037,right,1.3148274589984794,None,718.2684039169981,718.2684467500003,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,15.0,,112,112,0,,,,,,,,,,c+2,poss,100,right,1.6921660840016557,None,None,,,,,,,,,,,0,112,112,120,718.2782861250016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.2703551250015,718.2782861250016,718.765798583001,718.765798583001,718.8376797079982,718.8376797079982,719.9737784579993,right,1.6921660840016557,None,719.9738763330024,719.9739178329983,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
4,0.0,,113,113,0,,,,,,,,,,c+4,noss,0,right,1.1173907919946942,None,None,,,,,,,,,,,0,113,113,969,719.9844167920019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.9763279170002,719.9844167920019,720.474683542001,720.474683542001,720.5493022919982,720.5493022919982,721.1069987500014,right,1.1173907919946942,None,721.1071244580016,721.1071767920002,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,15.0,,114,114,0,,,,,,,,,,c-2,poss,100,left,1.2863702079994255,None,None,,,,,,,,,,,0,114,114,47,721.1175000420044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.1093631250042,721.1175000420044,721.6084112079989,721.6084112079989,721.6829941250035,721.6829941250035,722.4081399170027,left,1.2863702079994255,None,722.4082654579979,722.4083168330035,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-1,0.0,,115,115,0,,,,,,,,,,c-1,noss,0,left,1.1399770420030109,None,None,,,,,,,,,,,0,115,115,812,722.418591667003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.4104164169985,722.418591667003,722.9087126250015,722.9087126250015,722.983089166999,722.983089166999,723.5687492500001,left,1.1399770420030109,None,723.5688795000024,723.5689331670001,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,-15.0,,116,116,0,,,,,,,,,,c+2,negs,100,right,1.129644125001505,None,None,,,,,,,,,,,0,116,116,618,723.5794188330037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.5713257079988,723.5794188330037,724.0659493330022,724.0659493330022,724.1380262919993,724.1380262919993,724.7183994169973,right,1.129644125001505,None,724.7185301249992,724.7185838750011,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,-15.0,,117,117,0,,,,,,,,,,c+2,negs,100,right,1.27906804200029,None,None,,,,,,,,,,,0,117,117,652,724.7288395830037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.7207923750029,724.7288395830037,725.2159370000008,725.2159370000008,725.2875790830003,725.2875790830003,726.0186554579996,right,1.27906804200029,None,726.0187835420002,726.0188402080021,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
8,15.0,,118,118,0,,,,,,,,,,c+8,poss,100,right,1.304444749999675,None,None,,,,,,,,,,,0,118,118,331,726.0294272500032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.0213320420007,726.0294272500032,726.5159935420015,726.5159935420015,726.5892172079984,726.5892172079984,727.3363679169997,right,1.304444749999675,None,727.3364827080004,727.3365255419994,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-4,-15.0,,119,119,0,,,,,,,,,,c-4,negs,100,right,1.7982864579971647,None,None,,,,,,,,,,,0,119,119,484,727.3465737080041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.3386072920039,727.3465737080041,727.8327881250007,727.8327881250007,727.9051592500036,727.9051592500036,729.152420917002,right,1.7982864579971647,None,729.1525518749986,729.152605000003,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-1,0.0,,120,120,0,,,,,,,,,,c-1,noss,0,left,1.3060123749964987,None,None,,,,,,,,,,,0,120,120,839,729.1625406669991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.1545736670014,729.1625406669991,729.6495372080026,729.6495372080026,729.7222883330032,729.7222883330032,730.4737253330022,left,1.3060123749964987,None,730.4738502079999,730.4739071669974,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-4,0.0,,121,121,0,,,,,,,,,,c-4,noss,0,left,1.3549091249951744,None,None,,,,,,,,,,,0,121,121,704,730.4997510419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.4759008750043,730.4997510419998,730.9750658749981,730.9750658749981,731.0500757080008,731.0500757080008,731.8587173749984,left,1.3549091249951744,None,731.8588542920043,731.8589087919972,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,15.0,,122,122,0,,,,,,,,,,c+0,poss,100,left,1.4415972089991556,None,None,,,,,,,,,,,0,122,122,83,731.8693694579997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.8611792079973,731.8693694579997,732.3591817499982,732.3591817499982,732.4333682500001,732.4333682500001,733.3189117919974,left,1.4415972089991556,None,733.319072792001,733.319129208001,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
8,15.0,,123,123,0,,,,,,,,,,c+8,poss,100,right,1.2139224170023226,None,None,,,,,,,,,,,0,123,123,321,733.3297755000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.3217990830017,733.3297755000021,733.8163250830039,733.8163250830039,733.8888562080028,733.8888562080028,734.5524990420017,right,1.2139224170023226,None,734.5526290830021,734.5526922920035,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-1,0.0,,124,124,0,,,,,,,,,,c-1,noss,0,left,1.2254082090003067,None,None,,,,,,,,,,,0,124,124,797,734.562694166998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.5547805829992,734.562694166998,735.0497252920031,735.0497252920031,735.121562332999,735.121562332999,735.7907746670026,left,1.2254082090003067,None,735.7908993329984,735.790957833,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,0.0,,125,125,0,,,,,,,,,,c-2,noss,0,left,1.0610043340057018,None,None,,,,,,,,,,,0,125,125,763,735.8165361249994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.7929757919992,735.8165361249994,736.292058375002,736.292058375002,736.3668589579975,736.3668589579975,736.8855930830032,left,1.0610043340057018,None,736.8857193750009,736.8857720829983,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-6,-15.0,,126,126,0,,,,,,,,,,c-6,negs,100,right,1.2010971670024446,None,None,,,,,,,,,,,0,126,126,412,736.8967035829992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.8885428330032,736.8967035829992,737.3830384169996,737.3830384169996,737.4558041249984,737.4558041249984,738.1029964580011,right,1.2010971670024446,None,738.1031369580014,738.1031971249977,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,-15.0,,127,127,0,,,,,,,,,,c+2,negs,100,left,1.1762575000029756,None,None,,,,,,,,,,,0,127,127,654,738.1134660829994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.1054698750013,738.1134660829994,738.5997322500043,738.5997322500043,738.6717907499988,738.6717907499988,739.3004648749993,left,1.1762575000029756,None,739.3005756670027,739.3006188330037,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
4,15.0,,128,128,0,,,,,,,,,,c+4,poss,100,right,1.918239167003776,None,None,,,,,,,,,,,0,128,128,186,739.3080904169983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.3025676250036,739.3080904169983,739.792112916999,739.792112916999,739.867066083003,739.867066083003,741.2359961670008,right,1.918239167003776,None,741.2361409170044,741.2361995000028,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,0.0,,129,129,0,,,,,,,,,,c+2,noss,0,left,1.345832375001919,None,None,,,,,,,,,,,0,129,129,930,741.2463728750008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.2384002500039,741.2463728750008,741.7331720420043,741.7331720420043,741.806158792002,741.806158792002,742.602436000001,left,1.345832375001919,None,742.6025685830027,742.6026229999989,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
6,15.0,,130,130,0,,,,,,,,,,c+6,poss,100,right,1.1937048749969108,None,None,,,,,,,,,,,0,130,130,270,742.612944667002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.6050408750016,742.612944667002,743.0999073330022,743.0999073330022,743.1718242499992,743.1718242499992,743.8191610830036,right,1.1937048749969108,None,743.8192971669996,743.8193628750014,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,0.0,,131,131,0,,,,,,,,,,c+2,noss,0,left,1.1717112080004881,None,None,,,,,,,,,,,0,131,131,936,743.8296295830005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.8215375830041,743.8296295830005,744.3166710000005,744.3166710000005,744.3897823330044,744.3897823330044,745.012682833003,left,1.1717112080004881,None,745.0127883750029,745.0128364999982,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-4,-15.0,,132,132,0,,,,,,,,,,c-4,negs,100,right,1.8177917089997209,None,None,,,,,,,,,,,0,132,132,491,745.0194724579997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0147958329981,745.0194724579997,745.5096008330001,745.5096008330001,745.5840588330029,745.5840588330029,746.8413364579974,right,1.8177917089997209,None,746.8414600830001,746.8415229169987,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,-15.0,,133,133,0,,,,,,,,,,c+2,negs,100,left,1.1206167079944862,None,None,,,,,,,,,,,0,133,133,632,746.8524338749994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.8435868750021,746.8524338749994,747.3424251250035,747.3424251250035,747.4171098330044,747.4171098330044,747.9761927500003,left,1.1206167079944862,None,747.9763414170011,747.9763978330011,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-1,0.0,,134,134,0,,,,,,,,,,c-1,noss,0,right,1.0643950410012621,None,None,,,,,,,,,,,0,134,134,793,747.9867545419984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.9785601250042,747.9867545419984,748.475407124999,748.475407124999,748.5506417920042,748.5506417920042,749.053768167003,right,1.0643950410012621,None,749.0538947079986,749.0539495830017,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,-15.0,,135,135,0,,,,,,,,,,c+0,negs,100,left,1.0416306670013,None,None,,,,,,,,,,,0,135,135,604,749.0641573329995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.0562482919995,749.0641573329995,749.5501910419989,749.5501910419989,749.6226364169997,749.6226364169997,750.1086714580015,left,1.0416306670013,None,750.1088066250013,750.1088615000044,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,15.0,,136,136,0,,,,,,,,,,c+0,poss,100,right,1.1405360830030986,None,None,,,,,,,,,,,0,136,136,99,750.1193710000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.1110381670005,750.1193710000007,750.6099213749985,750.6099213749985,750.6840592080043,750.6840592080043,751.2696248749999,right,1.1405360830030986,None,751.269753833003,751.2698079999973,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-1,0.0,,137,137,0,,,,,,,,,,c-1,noss,0,right,1.337597834004555,None,None,,,,,,,,,,,0,137,137,799,751.2801628750021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.2722262079988,751.2801628750021,751.7669636670034,751.7669636670034,751.8397679580012,751.8397679580012,752.6205752500027,right,1.337597834004555,None,752.6207892500024,752.6208841249972,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-8,-15.0,,138,138,0,,,,,,,,,,c-8,negs,100,left,1.3223976660010521,None,None,,,,,,,,,,,0,138,138,337,752.631764083002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.6233781670016,752.631764083002,753.117002250001,753.117002250001,753.1892384169987,753.1892384169987,753.9586832920031,left,1.3223976660010521,None,753.958779792003,753.9588218749996,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
8,15.0,,139,139,0,,,,,,,,,,c+8,poss,100,right,2.122852791995683,None,None,,,,,,,,,,,0,139,139,320,753.9693486670003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.9610773750028,753.9693486670003,754.4593610829979,754.4593610829979,754.5342454170022,754.5342454170022,756.1031224170001,right,2.122852791995683,None,756.1032291250012,756.1032721669981,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-1,0.0,,140,140,0,,,,,,,,,,c-1,noss,0,left,1.104258542000025,None,None,,,,,,,,,,,0,140,140,784,756.1132108329984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.1052463329979,756.1132108329984,756.6004209579987,756.6004209579987,756.6725376250033,756.6725376250033,757.2201788750026,left,1.104258542000025,None,757.2203224580007,757.2203848330028,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-6,-15.0,,141,141,0,,,,,,,,,,c-6,negs,100,left,2.3593187910009874,None,None,,,,,,,,,,,0,141,141,392,757.2302122920009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.222617958003,757.2302122920009,757.7172868749985,757.7172868749985,757.789028291998,757.789028291998,759.5920743329989,left,2.3593187910009874,None,759.5921752499999,759.5922192920043,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-4,0.0,,142,142,0,,,,,,,,,,c-4,noss,0,left,1.1490239159975317,None,None,,,,,,,,,,,0,142,142,711,759.6026195419981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.5941553329976,759.6026195419981,760.0933123330033,760.0933123330033,760.1677227079999,760.1677227079999,760.7543340830016,left,1.1490239159975317,None,760.7545079170013,760.7545618330041,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,0.0,,143,143,0,,,,,,,,,,c+2,noss,0,right,1.1528957080008695,None,None,,,,,,,,,,,0,143,143,914,760.764838791998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.7572434169997,760.764838791998,761.2506862500013,761.2506862500013,761.3234935,761.3234935,761.9205517919982,right,1.1528957080008695,None,761.9206980829986,761.9207541670039,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,-15.0,,144,144,0,,,,,,,,,,c+0,negs,100,right,1.1456424159987364,None,None,,,,,,,,,,,0,144,144,567,761.9309930829986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.9229928330024,761.9309930829986,762.4173244999984,762.4173244999984,762.4907867080037,762.4907867080037,763.0866750420028,right,1.1456424159987364,None,763.0867817079998,763.0868246250029,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-8,-15.0,,145,145,0,,,,,,,,,,c-8,negs,100,left,1.346691541999462,None,None,,,,,,,,,,,0,145,145,391,763.0967204999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.0887799170014,763.0967204999979,763.5840982500013,763.5840982500013,763.6564943749981,763.6564943749981,764.4536298329986,left,1.346691541999462,None,764.4537899580027,764.4538456250011,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
6,15.0,,146,146,0,,,,,,,,,,c+6,poss,100,right,1.080837083994993,None,None,,,,,,,,,,,0,146,146,238,764.4647379579983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.4566084580001,764.4647379579983,764.9507815420002,764.9507815420002,765.022475042002,765.022475042002,765.5535164579996,right,1.080837083994993,None,765.5536722079996,765.5537347080026,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-6,-15.0,,147,147,0,,,,,,,,,,c-6,negs,100,left,1.1283640420006122,None,None,,,,,,,,,,,0,147,147,434,765.5652597500011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.5567732080017,765.5652597500011,766.0507970420003,766.0507970420003,766.1231784999982,766.1231784999982,766.7034665000028,left,1.1283640420006122,None,766.703596667001,766.7036507079974,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-6,-15.0,,148,148,0,,,,,,,,,,c-6,negs,100,left,1.1688362080021761,None,None,,,,,,,,,,,0,148,148,414,766.7135279580034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.7056447080031,766.7135279580034,767.2009648750027,767.2009648750027,767.2730197920027,767.2730197920027,767.886889458001,left,1.1688362080021761,None,767.8870220419994,767.8870776250042,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,0.0,,149,149,0,,,,,,,,,,c-2,noss,0,left,1.293876999996428,None,None,,,,,,,,,,,0,149,149,740,767.8975132499982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.8895038749979,767.8975132499982,768.3840642080031,768.3840642080031,768.4565450829978,768.4565450829978,769.2016677499996,left,1.293876999996428,None,769.201772708002,769.2018172079988,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
