center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
1.166666666666667,15.0,,150,150,0,,,,,,,,,,m3,poss,100,left,1.56295549999777,None,None,,,,,,,,,,,0,150,150,11,234.46769404099905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.46007654099958,234.46769404099905,234.9543446250027,234.9543446250027,235.02744366600382,235.02744366600382,236.04061341600027,left,1.56295549999777,None,236.04078191600274,236.04084062499896,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-1.0,0.0,,151,151,0,,,,,,,,,,m2,noss,0,left,2.5559482500029844,None,None,,,,,,,,,,,0,151,151,582,236.05161500000395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0434866659998,236.05161500000395,236.53788262500166,236.53788262500166,236.60994916599884,236.60994916599884,238.61304295800073,left,2.5559482500029844,None,238.6131684580032,238.61323062500014,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
2.666666666666667,15.0,,152,152,0,,,,,,,,,,m1,poss,100,left,1.3414863340003649,None,None,,,,,,,,,,,0,152,152,94,238.62389537499985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.61539037500188,238.62389537499985,239.11400666600093,239.11400666600093,239.18839062500047,239.18839062500047,239.97402675000194,left,1.3414863340003649,None,239.97415212500346,239.97420808300376,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
4.166666666666667,15.0,,153,153,0,,,,,,,,,,p2,poss,100,right,1.0381312499957858,None,None,,,,,,,,,,,0,153,153,209,239.9842662910014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.97646125000028,239.9842662910014,240.47125745799713,240.47125745799713,240.5433215410012,240.5433215410012,241.03287545799685,right,1.0381312499957858,None,241.03297529100382,241.0330186659994,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,154,154,0,,,,,,,,,,m3,negs,100,left,1.2197615000040969,None,None,,,,,,,,,,,0,154,154,286,241.04059704099927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0348892080001,241.04059704099927,241.53007095799694,241.53007095799694,241.60517629099922,241.60517629099922,242.2636486659976,left,1.2197615000040969,None,242.26379391599767,242.263852707998,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.166666666666667,15.0,,155,155,0,,,,,,,,,,PSE,poss,100,right,1.8013795410006423,None,None,,,,,,,,,,,0,155,155,126,242.27426079099678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.26602691599692,242.27426079099678,242.76459420799802,242.76459420799802,242.83864754100068,242.83864754100068,244.07937016600044,right,1.8013795410006423,None,244.07949099999678,244.07954549999704,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.666666666666667,15.0,,156,156,0,,,,,,,,,,p1,poss,100,right,1.1655775830004131,None,None,,,,,,,,,,,0,156,156,163,244.0899350000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.08187012500275,244.0899350000036,244.5802816659998,244.5802816659998,244.6552305410005,244.6552305410005,245.2587047499983,right,1.1655775830004131,None,245.25886191600148,245.25892091599962,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,157,157,0,,,,,,,,,,m3,negs,100,left,1.1332984590044362,None,None,,,,,,,,,,,0,157,157,319,245.26908504099993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.26105404100235,245.26908504099993,245.75479366599757,245.75479366599757,245.82681545800006,245.82681545800006,246.40773241600255,left,1.1332984590044362,None,246.40785841600155,246.40792870800215,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.75,-15.0,,158,158,0,,,,,,,,,,p3,negs,100,right,1.4543461249995744,None,None,,,,,,,,,,,0,158,158,550,246.41782599999715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.40987587499694,246.41782599999715,246.90499983300106,246.90499983300106,246.97728933300095,246.97728933300095,247.87474666599883,right,1.4543461249995744,None,247.87488291600312,247.8749424580019,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-5.25,-15.0,,159,159,0,,,,,,,,,,m1,negs,100,left,1.0941787909978302,None,None,,,,,,,,,,,0,159,159,392,247.8854730000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.87714816600055,247.8854730000021,248.37150970799848,248.37150970799848,248.44371687500097,248.44371687500097,248.99097191599867,left,1.0941787909978302,None,248.9911005410031,248.99115512499702,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.75,-15.0,,160,160,0,,,,,,,,,,p3,negs,100,right,1.0375592909986153,None,None,,,,,,,,,,,0,160,160,537,249.00159029100178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.9934626250033,249.00159029100178,249.48819674999686,249.48819674999686,249.56060683300166,249.56060683300166,250.04173012499814,right,1.0375592909986153,None,250.04186566599674,250.04192350000085,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,161,161,0,,,,,,,,,,m3,negs,100,left,1.036651417001849,None,None,,,,,,,,,,,0,161,161,305,250.0522062079981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.04416345799837,250.0522062079981,250.53821937499742,250.53821937499742,250.61140716599766,250.61140716599766,251.09141733300203,left,1.036651417001849,None,251.09154270800354,251.09159712499968,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-5.25,-15.0,,162,162,0,,,,,,,,,,m1,negs,100,right,1.0130984159986838,None,None,,,,,,,,,,,0,162,162,365,251.10237929099821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0940975830017,251.10237929099821,251.58824695800286,251.58824695800286,251.66097762499703,251.66097762499703,252.1244531659977,right,1.0130984159986838,None,252.1246106250037,252.1246658750024,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.166666666666667,15.0,,163,163,0,,,,,,,,,,PSE,poss,100,left,1.7244522500041057,None,None,,,,,,,,,,,0,163,163,135,252.13590049999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.12775566599885,252.13590049999766,252.62169537499722,252.62169537499722,252.69374758299818,252.69374758299818,253.86301241599722,left,1.7244522500041057,None,253.86313558300026,253.86319691599783,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-1.0,0.0,,164,164,0,,,,,,,,,,m2,noss,0,left,1.9479055419942597,None,None,,,,,,,,,,,0,164,164,595,253.888557708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.86513550000382,253.888557708,254.36384266600362,254.36384266600362,254.43909595799778,254.43909595799778,255.8408401659981,left,1.9479055419942597,None,255.84094175000064,255.8409846659997,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
1.0,0.0,,165,165,0,,,,,,,,,,p2,noss,0,right,1.0789925420031068,None,None,,,,,,,,,,,0,165,165,678,255.8508989999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8429047910031,255.8508989999973,256.33848299999954,256.33848299999954,256.41190091599856,256.41190091599856,256.94126991600206,right,1.0789925420031068,None,256.9414021249977,256.94145887500054,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-3.75,-15.0,,166,166,0,,,,,,,,,,p2,negs,100,right,1.3037919999987935,None,None,,,,,,,,,,,0,166,166,513,256.9520541250022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.94388970800355,256.9520541250022,257.4385333329992,257.4385333329992,257.51193970799795,257.51193970799795,258.2587087080028,right,1.3037919999987935,None,258.2588544160026,258.25891299999785,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,167,167,0,,,,,,,,,,m3,negs,100,left,1.376512750000984,None,None,,,,,,,,,,,0,167,167,309,258.2693314999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.2612369999988,258.2693314999997,258.7542402079998,258.7542402079998,258.82751979099703,258.82751979099703,259.6484838329998,left,1.376512750000984,None,259.6486057910006,259.64865962500335,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.666666666666667,15.0,,168,168,0,,,,,,,,,,p1,poss,100,right,1.2643577920025564,None,None,,,,,,,,,,,0,168,168,162,259.65850487499847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.65090108299773,259.65850487499847,260.1475482500027,260.1475482500027,260.22258379100094,260.22258379100094,260.92534054099815,right,1.2643577920025564,None,260.925469916001,260.9255264579988,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-3.75,-15.0,,169,169,0,,,,,,,,,,p2,negs,100,left,1.4031037499953527,None,None,,,,,,,,,,,0,169,169,502,260.9360433749971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.92773179100186,260.9360433749971,261.4220560829999,261.4220560829999,261.49487858299835,261.49487858299835,262.3420106249978,left,1.4031037499953527,None,262.3421469160021,262.34223075000045,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.166666666666667,15.0,,170,170,0,,,,,,,,,,PSE,poss,100,left,1.115238958998816,None,None,,,,,,,,,,,0,170,170,152,262.3525553330037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.34441220800363,262.3525553330037,262.83900954099954,262.83900954099954,262.9110724580023,262.9110724580023,263.4745875410008,left,1.115238958998816,None,263.474711750001,263.4747649580022,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-4.75,-15.0,,171,171,0,,,,,,,,,,PSE,negs,100,left,1.0711169589994824,None,None,,,,,,,,,,,0,171,171,434,263.4848592499984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.47675233300106,263.4848592499984,263.97215733300254,263.97215733300254,264.04503620800097,264.04503620800097,264.5586480830025,left,1.0711169589994824,None,264.5587984579979,264.5588500410013,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.75,-15.0,,172,172,0,,,,,,,,,,p3,negs,100,left,2.6113500419960474,None,None,,,,,,,,,,,0,172,172,554,264.5699978749981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.5615337909985,264.5699978749981,265.05536887500057,265.05536887500057,265.12875104100385,265.12875104100385,267.1913493750035,left,2.6113500419960474,None,267.1914778749997,267.1915407080014,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
1.166666666666667,15.0,,173,173,0,,,,,,,,,,m3,poss,100,left,1.1441631659981795,None,None,,,,,,,,,,,0,173,173,34,267.2021753750014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.1938095000005,267.2021753750014,267.6888085000028,267.6888085000028,267.76103420800064,267.76103420800064,268.35667091600044,left,1.1441631659981795,None,268.3567761660015,268.3568195409971,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
2.166666666666667,15.0,,174,174,0,,,,,,,,,,m2,poss,100,left,0.9809562919981545,None,None,,,,,,,,,,,0,174,174,47,268.3639569579973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.35874620800314,268.3639569579973,268.8476737079982,268.8476737079982,268.9227154160035,268.9227154160035,269.34864625000046,left,0.9809562919981545,None,269.3487869160017,269.34884712500207,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
0.0,0.0,,175,175,0,,,,,,,,,,PSE,noss,0,right,1.1705775829977938,None,None,,,,,,,,,,,0,175,175,638,269.35891683299997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.35123100000055,269.35891683299997,269.84866537500056,269.84866537500056,269.9227893330026,269.9227893330026,270.5419033330036,right,1.1705775829977938,None,270.54200624999794,270.5420496660008,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
5.166666666666667,15.0,,176,176,0,,,,,,,,,,p3,poss,100,right,1.0876303330005612,None,None,,,,,,,,,,,0,176,176,253,270.5519543749979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.54397191599855,270.5519543749979,271.03924158299924,271.03924158299924,271.11096825000277,271.11096825000277,271.6421837079979,right,1.0876303330005612,None,271.6423506659994,271.64240466600313,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-4.75,-15.0,,177,177,0,,,,,,,,,,PSE,negs,100,left,1.1979087090003304,None,None,,,,,,,,,,,0,177,177,421,271.6535321249976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.6450540829974,271.6535321249976,272.13905091599736,272.13905091599736,272.21136500000284,272.21136500000284,272.8587569579977,left,1.1979087090003304,None,272.8589114999995,272.8589697080024,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.75,-15.0,,178,178,0,,,,,,,,,,p3,negs,100,left,1.0752697079951758,None,None,,,,,,,,,,,0,178,178,525,272.86987154099916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.8615498750005,272.86987154099916,273.35577983300027,273.35577983300027,273.4285611660016,273.4285611660016,273.9478890410028,left,1.0752697079951758,None,273.94801112500136,273.94806637500005,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
1.0,0.0,,179,179,0,,,,,,,,,,p2,noss,0,left,1.150039125001058,None,None,,,,,,,,,,,0,179,179,677,273.95836329099984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.94996883300337,273.95836329099984,274.44801020799787,274.44801020799787,274.5231568750023,274.5231568750023,275.1135585410011,left,1.150039125001058,None,275.11368058300286,275.1137366249968,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-3.75,-15.0,,180,180,0,,,,,,,,,,p2,negs,100,left,1.1544082079999498,None,None,,,,,,,,,,,0,180,180,492,275.1393844580016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.11586700000043,275.1393844580016,275.61455241600197,275.61455241600197,275.68968408300134,275.68968408300134,276.2970734999981,left,1.1544082079999498,None,276.2971693330037,276.29721179100306,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.75,-15.0,,181,181,0,,,,,,,,,,p3,negs,100,left,1.0796910409990232,None,None,,,,,,,,,,,0,181,181,547,276.32274108300044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.2990983749987,276.32274108300044,276.7980729159972,276.7980729159972,276.8730441660009,276.8730441660009,277.4085475000029,left,1.0796910409990232,None,277.4086471249975,277.40869162500167,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.75,-15.0,,182,182,0,,,,,,,,,,p3,negs,100,left,1.025472916997387,None,None,,,,,,,,,,,0,182,182,536,277.418630250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.410630958002,277.418630250002,277.9058795410019,277.9058795410019,277.97934387499845,277.97934387499845,278.4486708330005,left,1.025472916997387,None,278.44876920800016,278.44881358300336,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.75,-15.0,,183,183,0,,,,,,,,,,p3,negs,100,left,1.0155710420003743,None,None,,,,,,,,,,,0,183,183,535,278.4587864580026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.4507682080002,278.4587864580026,278.94903104100376,278.94903104100376,279.02313170800335,279.02313170800335,279.4815759159974,left,1.0155710420003743,None,279.4817215410003,279.4817788330038,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
4.166666666666667,15.0,,184,184,0,,,,,,,,,,p2,poss,100,left,0.8909914579999167,None,None,,,,,,,,,,,0,184,184,227,279.49216737499955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.4839012500015,279.49216737499955,279.98113962500065,279.98113962500065,280.05659908300004,280.05659908300004,280.3920597910037,left,0.8909914579999167,None,280.392207416,280.39225983300275,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-2.0,0.0,,185,185,0,,,,,,,,,,m3,noss,0,left,1.1101146670043818,None,None,,,,,,,,,,,0,185,185,565,280.40327983300085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.3951209579973,280.40327983300085,280.88927679100016,280.88927679100016,280.9623848330011,280.9623848330011,281.5251277080024,left,1.1101146670043818,None,281.525248416001,281.52530587500223,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-0.5,0.0,,186,186,0,,,,,,,,,,m1,noss,0,left,0.8210184999988996,None,None,,,,,,,,,,,0,186,186,610,281.53526779099775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.5273435830022,281.53526779099775,282.0227035409989,282.0227035409989,282.095271582999,282.095271582999,282.35887408300187,left,0.8210184999988996,None,282.358999707998,282.35906824999984,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-4.75,-15.0,,187,187,0,,,,,,,,,,PSE,negs,100,left,0.8040604579946375,None,None,,,,,,,,,,,0,187,187,430,282.36931858299795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.3612429999994,282.36931858299795,282.85618737500045,282.85618737500045,282.92956158299785,282.92956158299785,283.1764315410037,left,0.8040604579946375,None,283.17656633300066,283.17662541600293,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,188,188,0,,,,,,,,,,m3,negs,100,left,0.8375938329991186,None,None,,,,,,,,,,,0,188,188,289,283.18736458299827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.17914225000277,283.18736458299827,283.6728796660027,283.6728796660027,283.7450981660004,283.7450981660004,284.03182466600265,left,0.8375938329991186,None,284.0319246660001,284.0319701249973,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
5.166666666666667,15.0,,189,189,0,,,,,,,,,,p3,poss,100,left,0.859991582998191,None,None,,,,,,,,,,,0,189,189,275,284.0422652499983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.03391016599926,284.0422652499983,284.5315597079971,284.5315597079971,284.6066797500025,284.6066797500025,284.9085431659987,left,0.859991582998191,None,284.90864837499976,284.9086923750001,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
2.166666666666667,15.0,,190,190,0,,,,,,,,,,m2,poss,100,left,1.4549061669968069,None,None,,,,,,,,,,,0,190,190,44,284.91847833299835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.9105835829978,284.91847833299835,285.4054034159999,285.4054034159999,285.47853895799926,285.47853895799926,286.37654766599735,left,1.4549061669968069,None,286.37669595800253,286.3767707079969,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-0.5,0.0,,191,191,0,,,,,,,,,,m1,noss,0,left,1.0310953329972108,None,None,,,,,,,,,,,0,191,191,619,286.386938165997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.3788721660021,286.386938165997,286.87290529099846,286.87290529099846,286.9447136250019,286.9447136250019,287.42568791600206,left,1.0310953329972108,None,287.4258077909981,287.42586070799734,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-5.25,-15.0,,192,192,0,,,,,,,,,,m1,negs,100,left,0.9986336669971934,None,None,,,,,,,,,,,0,192,192,372,287.4359271249996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.42801104100363,287.4359271249996,287.92307583300135,287.92307583300135,287.9958496660038,287.9958496660038,288.4422293750031,left,0.9986336669971934,None,288.4423558330018,288.44241216599767,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
