center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
0,15.0,,182,182,0,,,,,100,0,,,,,c+0,poss,0.75,z,1.261004917032551,None,None,,,,,,,,,,,0,182,182,55,451.81964587501716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.81059750000713,451.81964587501716,452.5536024160101,452.5536024160101,452.5536024160101,452.6258772080182,452.6258772080182,452.6258772080182,453.0897867080057,z,1.261004917032551,None,453.0899123750278,453.08996750001097,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-8,-15.0,,183,183,0,,,,,100,0,,,,,c-8,negs,0.5,z,1.4574122080230154,None,None,,,,,,,,,,,0,183,183,256,453.1012437909958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0924810830038,453.1012437909958,453.58735191600863,453.58735191600863,453.58735191600863,453.6592452080222,453.6592452080222,453.6592452080222,454.5629515000037,z,1.4574122080230154,None,454.563049999997,454.5630908330204,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
8,15.0,,184,184,0,,,,,100,0,,,,,c+8,poss,1.25,period,1.876287167018745,None,None,,,,,,,,,,,0,184,184,250,454.57364041602705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.5650775000104,454.57364041602705,455.8142908330192,455.8142908330192,455.8142908330192,455.88783183303894,455.88783183303894,455.88783183303894,456.4568834580132,period,1.876287167018745,None,456.45702704100404,456.4570800830261,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,185,185,0,,,,,100,0,,,,,c-4,negs,1.0,z,1.4784537500236183,None,None,,,,,,,,,,,0,185,185,366,456.4683816659963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.4593987080152,456.4683816659963,457.4541255000513,457.4541255000513,457.4541255000513,457.5265628750203,457.5265628750203,457.5265628750203,457.95691120804986,z,1.4784537500236183,None,457.9570421660319,457.9570980000426,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,186,186,0,,,,,0,100,,,,,c-2,noss,0.5,period,1.0636130830389448,None,None,,,,,,,,,,,0,186,186,546,457.9681072499952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.95936641603475,457.9681072499952,458.4541987910052,458.4541987910052,458.4541987910052,458.5258965410176,458.5258965410176,458.5258965410176,459.0401677910122,period,1.0636130830389448,None,459.0402954580495,459.0403505000286,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,0.0,,187,187,0,,,,,0,100,,,,,c+4,noss,0.5,period,1.0230558750336058,None,None,,,,,,,,,,,0,187,187,677,459.0510671660304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.04257783299545,459.0510671660304,459.53694541601,459.53694541601,459.53694541601,459.6104906250257,459.6104906250257,459.6104906250257,460.07865987502737,period,1.0230558750336058,None,460.0787601660122,460.0788065830129,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,15.0,,188,188,0,,,,,100,0,,,,,c+4,poss,1.0,period,1.433611957996618,None,None,,,,,,,,,,,0,188,188,154,460.0899090410094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.08075516601093,460.0899090410094,461.08007512503536,461.08007512503536,461.08007512503536,461.1546903750277,461.1546903750277,461.1546903750277,461.53045562503394,period,1.433611957996618,None,461.53060566604836,461.5306640409981,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,15.0,,189,189,0,,,,,100,0,,,,,c+2,poss,0.5,z,1.4246720829978585,None,None,,,,,,,,,,,0,189,189,87,461.54139666602714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.5329995000502,461.54139666602714,462.03066441603005,462.03066441603005,462.03066441603005,462.1045958750183,462.1045958750183,462.1045958750183,462.974185958039,z,1.4246720829978585,None,462.97434495802736,462.97440329100937,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,0.0,,190,190,0,,,,,0,100,,,,,c+2,noss,1.25,z,4.035800499957986,None,None,,,,,,,,,,,0,190,190,666,462.9867583750165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.97783758305013,462.9867583750165,464.2210069580469,464.2210069580469,464.2210069580469,464.29481824999675,464.29481824999675,464.29481824999675,467.0350130830193,z,4.035800499957986,None,467.0351124580484,467.0351558330003,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,191,191,0,,,,,100,0,,,,,c+0,negs,1.25,period,1.7568386669736356,None,None,,,,,,,,,,,0,191,191,458,467.04172458301764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.03717579104705,467.04172458301764,468.28073283302365,468.28073283302365,468.28073283302365,468.35498766601086,468.35498766601086,468.35498766601086,468.8075446660514,period,1.7568386669736356,None,468.8077045410173,468.80776487500407,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,-15.0,,192,192,0,,,,,100,0,,,,,c-2,negs,0.5,period,1.1354520830209367,None,None,,,,,,,,,,,0,192,192,378,468.8199004580383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.8106075830292,468.8199004580383,469.30456379102543,469.30456379102543,469.30456379102543,469.37641783303116,469.37641783303116,469.37641783303116,469.95806745800655,period,1.1354520830209367,None,469.9582426660345,469.9583153750282,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,193,193,0,,,,,100,0,,,,,c-4,negs,0.5,period,1.145837375021074,None,None,,,,,,,,,,,0,193,193,340,469.96981445804704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.96101137500955,469.96981445804704,470.454572290997,470.454572290997,470.454572290997,470.52727766602766,470.52727766602766,470.52727766602766,471.12379695801064,period,1.145837375021074,None,471.12392345804255,471.12397841602797,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,0.0,,194,194,0,,,,,0,100,,,,,c-4,noss,1.25,z,1.7790635420242324,None,None,,,,,,,,,,,0,194,194,542,471.13554141600616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.1264990000054,471.13554141600616,472.371222375019,472.371222375019,472.371222375019,472.44401975005167,472.44401975005167,472.44401975005167,472.9244642080157,z,1.7790635420242324,None,472.92473008303205,472.92483141605044,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,15.0,,195,195,0,,,,,100,0,,,,,c+2,poss,1.25,z,1.8980345000163652,None,None,,,,,,,,,,,0,195,195,120,472.93653537501814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.92745320801623,472.93653537501814,474.1711264580372,474.1711264580372,474.1711264580372,474.24343650002265,474.24343650002265,474.24343650002265,474.8405330830137,z,1.8980345000163652,None,474.8406372910249,474.84068137500435,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-8,-15.0,,196,196,0,,,,,100,0,,,,,c-8,negs,0.75,z,1.029965124966111,None,None,,,,,,,,,,,0,196,196,267,474.8512912080041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.84266399999615,474.8512912080041,475.5880964160315,475.5880964160315,475.5880964160315,475.66060454101535,475.66060454101535,475.66060454101535,475.89159591600765,z,1.029965124966111,None,475.8917383750086,475.89179270801833,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,197,197,0,,,,,0,100,,,,,c-2,noss,1.25,z,1.6353116660029627,None,None,,,,,,,,,,,0,197,197,585,475.9034560410073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.8942583750468,475.9034560410073,477.13810949999606,477.13810949999606,477.13810949999606,477.21087108302163,477.21087108302163,477.21087108302163,477.5414497909951,z,1.6353116660029627,None,477.5416246250388,477.5417030000244,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,15.0,,198,198,0,,,,,100,0,,,,,c+2,poss,1.25,z,1.5356037080055103,None,None,,,,,,,,,,,0,198,198,117,477.5533849580097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.5442495000316,477.5533849580097,478.78825995803345,478.78825995803345,478.78825995803345,478.86021754104877,478.86021754104877,478.86021754104877,479.0917560000089,z,1.5356037080055103,None,479.0919177909964,479.09197624999797,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,-15.0,,199,199,0,,,,,100,0,,,,,c+2,negs,1.25,period,1.9281599169480614,None,None,,,,,,,,,,,0,199,199,494,479.1041977080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0951500410447,479.1041977080167,480.33850166603224,480.33850166603224,480.33850166603224,480.41087779100053,480.41087779100053,480.41087779100053,481.0411801660084,period,1.9281599169480614,None,481.04133308300516,481.0413900410058,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,200,200,0,,,,,100,0,,,,,c-6,negs,0.75,period,1.3293599999742582,None,None,,,,,,,,,,,0,200,200,311,481.05390650004847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.0445913330186,481.05390650004847,481.78830566600664,481.78830566600664,481.78830566600664,481.8607987500145,481.8607987500145,481.8607987500145,482.39096466603223,period,1.3293599999742582,None,482.3911256249994,482.39118375000544,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,0.0,,201,201,0,,,,,0,100,,,,,c-4,noss,0.5,z,1.7545674169668928,None,None,,,,,,,,,,,0,201,201,504,482.4033057910274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.3942040830152,482.4033057910274,482.8883320830064,482.8883320830064,482.8883320830064,482.9610228750389,482.9610228750389,482.9610228750389,484.1631638330291,z,1.7545674169668928,None,484.1632917080424,484.16334779100725,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,0.0,,202,202,0,,,,,0,100,,,,,c+2,noss,1.25,period,2.0391835829941556,None,None,,,,,,,,,,,0,202,202,664,484.17450562503655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.1654530829983,484.17450562503655,485.4142772910418,485.4142772910418,485.4142772910418,485.48854350001784,485.48854350001784,485.48854350001784,486.2257529160124,period,2.0391835829941556,None,486.2259032500442,486.22596675000386,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,203,203,0,,,,,100,0,,,,,c-4,negs,0.75,z,2.8655545840156265,None,None,,,,,,,,,,,0,203,203,356,486.237583750044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.22866358299507,486.237583750044,486.97180220804876,486.97180220804876,486.97180220804876,487.04419070802396,487.04419070802396,487.04419070802396,489.1080022910028,z,2.8655545840156265,None,489.10810791602125,489.10815216600895,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,-15.0,,204,204,0,,,,,100,0,,,,,c-2,negs,1.25,period,1.7905587920104153,None,None,,,,,,,,,,,0,204,204,419,489.1188235410373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.11019620799925,489.1188235410373,490.35549283301225,490.35549283301225,490.35549283301225,490.4274964579963,490.4274964579963,490.4274964579963,490.91433254099684,period,1.7905587920104153,None,490.9144340000348,490.91447741602315,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,205,205,0,,,,,0,100,,,,,c-2,noss,1.25,z,1.8717708750045858,None,None,,,,,,,,,,,0,205,205,584,490.9250716660172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.9164521660423,490.9250716660172,492.1647976250388,492.1647976250388,492.1647976250388,492.23915304103866,492.23915304103866,492.23915304103866,492.8078704579966,z,1.8717708750045858,None,492.80798395804595,492.80802804103587,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,206,206,0,,,,,0,100,,,,,c-2,noss,0.75,period,1.482597749971319,None,None,,,,,,,,,,,0,206,206,559,492.8185833330499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.8099950000178,492.8185833330499,493.5553429580177,493.5553429580177,493.5553429580177,493.62768525001593,493.62768525001593,493.62768525001593,494.3081142080482,period,1.482597749971319,None,494.3082370409975,494.3082912500249,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,207,207,0,,,,,100,0,,,,,c-6,negs,0.5,z,1.1283362500253133,None,None,,,,,,,,,,,0,207,207,302,494.31895487499423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.31039870803943,494.31895487499423,494.8057516660192,494.8057516660192,494.8057516660192,494.8772774999961,494.8772774999961,494.8772774999961,495.45813995803474,z,1.1283362500253133,None,495.4582709160168,495.4583270410076,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,0.0,,208,208,0,,,,,0,100,,,,,c+4,noss,0.5,period,1.2040234580053948,None,None,,,,,,,,,,,0,208,208,675,495.46940120804356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.46060437499546,495.46940120804356,495.9555320829968,495.9555320829968,495.9555320829968,496.0285643330426,496.0285643330426,496.0285643330426,496.676282875007,period,1.2040234580053948,None,496.6764922500006,496.6765684999991,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
6,15.0,,209,209,0,,,,,100,0,,,,,c+6,poss,1.0,period,2.030145291995723,None,None,,,,,,,,,,,0,209,209,197,496.6882988330326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.6794117910322,496.6882988330326,497.6722806250327,497.6722806250327,497.6722806250327,497.744713083026,497.744713083026,497.744713083026,498.7248372080503,period,2.030145291995723,None,498.7249377500266,498.72498104104307,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,210,210,0,,,,,100,0,,,,,c-6,negs,0.5,period,0.3246638749842532,None,None,,,,,,,,,,,0,210,210,297,498.73563754104543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.72695304104127,498.73563754104543,,,,,,,499.06386987504084,period,0.3246638749842532,None,499.0639769580448,499.0640247500269,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
6,15.0,,211,211,0,,,,,100,0,,,,,c+6,poss,0.5,z,1.6372244160156697,None,None,,,,,,,,,,,0,211,211,173,499.0753602080513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.0664626660291,499.0753602080513,499.56515441602096,499.56515441602096,499.56515441602096,499.6394784160075,499.6394784160075,499.6394784160075,500.72513625002466,z,1.6372244160156697,None,500.7252652909956,500.7253098330111,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
8,15.0,,212,212,0,,,,,100,0,,,,,c+8,poss,0.75,period,1.4008326249895617,None,None,,,,,,,,,,,0,212,212,229,500.7358724580263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.72733237501234,500.7358724580263,501.47230333305197,501.47230333305197,501.47230333305197,501.5445951250149,501.5445951250149,501.5445951250149,502.1419805409969,period,1.4008326249895617,None,502.1421345830313,502.14219462504843,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
6,15.0,,213,213,0,,,,,100,0,,,,,c+6,poss,0.5,period,1.1456289589987136,None,None,,,,,,,,,,,0,213,213,177,502.1538973330171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.1449002500158,502.1538973330171,502.6390220000176,502.6390220000176,502.6390220000176,502.7120688330033,502.7120688330033,502.7120688330033,503.3092007910018,period,1.1456289589987136,None,503.3093512500054,503.309408250032,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,0.0,,214,214,0,,,,,0,100,,,,,c+0,noss,0.5,z,1.53625095798634,None,None,,,,,,,,,,,0,214,214,598,503.3200776250451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.3116620000219,503.3200776250451,503.80581312504364,503.80581312504364,503.80581312504364,503.87820366601227,503.87820366601227,503.87820366601227,504.8596577080316,z,1.53625095798634,None,504.8598096250207,504.85986591601977,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,215,215,0,,,,,100,0,,,,,c-4,negs,1.25,period,5.318502874986734,None,None,,,,,,,,,,,0,215,215,369,504.87147333304165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.86250391602516,504.87147333304165,506.10516179102706,506.10516179102706,506.10516179102706,506.17787933303043,506.17787933303043,506.17787933303043,510.1928704580059,period,5.318502874986734,None,510.19301929103676,510.1930794159998,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,0.0,,216,216,0,,,,,0,100,,,,,c-4,noss,1.0,z,1.5250032920157537,None,None,,,,,,,,,,,0,216,216,528,510.2041988330311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.19538304104935,510.2041988330311,511.18842100002803,511.18842100002803,511.18842100002803,511.262986708025,511.262986708025,511.262986708025,511.73173612501705,z,1.5250032920157537,None,511.7318654580158,511.7319214580348,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-8,-15.0,,217,217,0,,,,,100,0,,,,,c-8,negs,1.25,z,1.9312537499936298,None,None,,,,,,,,,,,0,217,217,287,511.7423807080486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.7342394160223,511.7423807080486,512.9828841660055,512.9828841660055,512.9828841660055,513.0566173330299,513.0566173330299,513.0566173330299,513.6761162500479,z,1.9312537499936298,None,513.6762543329969,513.6763212080114,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-8,-15.0,,218,218,0,,,,,100,0,,,,,c-8,negs,1.25,z,1.819582000025548,None,None,,,,,,,,,,,0,218,218,285,513.6875858750427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.6785126660252,513.6875858750427,514.9228273330373,514.9228273330373,514.9228273330373,514.9947388330474,514.9947388330474,514.9947388330474,515.5097545830067,z,1.819582000025548,None,515.5098865000182,515.509942625009,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
8,15.0,,219,219,0,,,,,100,0,,,,,c+8,poss,1.25,period,1.876078624976799,None,None,,,,,,,,,,,0,219,219,249,515.5212185410201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.5123797080014,515.5212185410201,516.7551421660464,516.7551421660464,516.7551421660464,516.8282820830354,516.8282820830354,516.8282820830354,517.4088375000283,period,1.876078624976799,None,517.4089623750187,517.4090145410155,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,220,220,0,,,,,100,0,,,,,c+0,negs,0.5,period,1.016193832969293,None,None,,,,,,,,,,,0,220,220,425,517.4196185000474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.4111567910295,517.4196185000474,517.9057626660215,517.9057626660215,517.9057626660215,517.9788420830155,517.9788420830155,517.9788420830155,518.4418717080262,period,1.016193832969293,None,518.4419744160259,518.4420180000016,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
