center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,56.441177166998386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,5,25,up,5,5,5,,56.43581766705029,56.441177166998386,56.441177166998386,56.93172929203138,56.93172929203138,57.004487166996114,57.004487166996114,57.004487166996114,56.93733224994503,57.458543209009804,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,57.46468624996487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,5,26,up,2,2,2,,57.459148167050444,57.46468624996487,57.46468624996487,57.955233167042024,57.955233167042024,58.03194637503475,58.03194637503475,58.03194637503475,57.955233167042024,58.45798741700128,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,58.46443412499502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,5,27,up,5,5,5,30,58.4585942090489,58.46443412499502,58.46443412499502,58.95514474995434,58.95514474995434,59.03210199996829,59.03210199996829,59.03210199996829,58.95514474995434,59.4927468750393,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,59.49772658396978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,5,28,up,2,2,2,30,59.49336724996101,59.49772658396978,59.49772658396978,59.98706879199017,59.98706879199017,60.06455333402846,60.06455333402846,60.068767125019804,59.98706879199017,60.67460912500974,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,60.68109954195097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,5,29,down,5,-5,-5,-30,60.67564037500415,60.68109954195097,60.68109954195097,61.17205966694746,61.17205966694746,61.24875745899044,61.24875745899044,61.24875745899044,61.17205966694746,61.79093787504826,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,61.79776091699023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,6,30,down,2,3,3,,61.79157804197166,61.79776091699023,61.79776091699023,62.28841066698078,62.28841066698078,62.36533312499523,62.36533312499523,62.36533312499523,62.28841066698078,62.78516791702714,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,62.791115166968666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,6,31,down,2,-4,-4,-30,62.78579091699794,62.791115166968666,62.791115166968666,63.282043584040366,63.282043584040366,63.35489183396567,63.35489183396567,63.35489183396567,63.287993583944626,63.79100045899395,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,63.79774275003001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,6,32,down,1,1,1,,63.791641084011644,63.79774275003001,63.79774275003001,64.28818487504032,64.28818487504032,64.36531333404128,64.36531333404128,64.36531333404128,64.28818487504032,64.84107112500351,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,64.84775654203258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,6,33,up,2,-3,-3,-30,64.84168541699182,64.84775654203258,64.84775654203258,65.33857499994338,65.33857499994338,65.4153563339496,65.4153563339496,65.4153563339496,65.33857499994338,67.87462716700975,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,67.88109941699076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,6,34,down,2,3,3,30,67.8752628340153,67.88109941699076,67.88109941699076,68.37185658398084,68.37185658398084,68.44869816699065,68.44869816699065,68.44869816699065,68.37185658398084,68.92385437502526,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,68.93109204201028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,6,35,down,1,1,1,30,68.92447183397599,68.93109204201028,68.93109204201028,69.42197320901323,69.42197320901323,69.49865474994294,69.49865474994294,69.49865474994294,69.42197320901323,70.08396341698244,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,70.08818258403335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,7,36,down,1,0,0,,70.084440000006,70.08818258403335,70.08818258403335,70.58200879197102,70.58200879197102,70.65467025001999,70.65467025001999,70.65467025001999,70.58200879197102,72.26828175003175,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,72.27426479198039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,7,37,up,1,-3,-3,-30,72.26890504197218,72.27426479198039,72.27426479198039,72.76523995900061,72.76523995900061,72.83802008396015,72.83802008396015,72.83802008396015,72.77137166704051,73.39142429200001,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,73.39773929200601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,7,38,down,2,1,1,30,73.39206504204776,73.39773929200601,73.39773929200601,73.88846899999771,73.88846899999771,73.96534379199147,73.96534379199147,73.96534379199147,73.88846899999771,74.4077213749988,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,74.41432866698597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,7,39,down,2,1,1,,74.40833879204001,74.41432866698597,74.41432866698597,74.90501641703304,74.90501641703304,74.98203858395573,74.98203858395573,74.98203858395573,74.90501641703304,75.42423699994106,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,75.43097412504721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,7,40,down,1,-4,-4,-30,75.4248310419498,75.43097412504721,75.43097412504721,75.92187383398414,75.92187383398414,75.99874641699716,75.99874641699716,75.99874641699716,75.92187383398414,76.58573029201943,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,76.5918302499922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,7,41,down,1,0,0,30,76.58636104199104,76.5918302499922,76.5918302499922,77.08167337498162,77.08167337498162,77.15456199995242,77.15456199995242,77.15456199995242,77.08724191703368,77.72438054194208,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,77.73102033394389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,8,42,down,2,-1,-1,,77.72502145904582,77.73102033394389,77.73102033394389,78.22178304195404,78.22178304195404,78.29868270899169,78.29868270899169,78.29868270899169,78.22178304195404,78.81860891694669,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,78.82460791699123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,8,43,up,0.5,0.5,0.5,30,78.81922958395444,78.82460791699123,78.82460791699123,79.3151827499969,79.3151827499969,79.38778612494934,79.38778612494934,79.38778612494934,79.32112766697537,79.94082620902918,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,79.94765120896045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,8,44,up,1,-2,-2,-30,79.9414352090098,79.94765120896045,79.94765120896045,80.43864637496881,80.43864637496881,80.51530874997843,80.51530874997843,80.51530874997843,80.43864637496881,81.69093058397993,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,81.69765154202469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,8,45,up,0.5,-3.5,-3.5,-30,81.69156841700897,81.69765154202469,81.69765154202469,82.18854012503289,82.18854012503289,82.26524716697168,82.26524716697168,82.26524716697168,82.18854012503289,82.75739612500183,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,82.76431908400264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,8,46,down,2,-1,-1,30,82.75801687501371,82.76431908400264,82.76431908400264,83.25510108401068,83.25510108401068,83.33200858393684,83.33200858393684,83.33200858393684,83.25510108401068,83.80190037505236,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,83.80805783404503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,8,47,down,1,-1,-1,,83.80252629204188,83.80805783404503,83.80805783404503,84.29861991701182,84.29861991701182,84.37123483396135,84.37123483396135,84.37123483396135,84.30443200003356,84.80753650004044,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,84.81431091704872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,9,48,up,0.5,-0.5,-0.5,,84.80821583396755,84.81431091704872,84.81431091704872,85.30502600001637,85.30502600001637,85.38201545900665,85.38201545900665,85.38201545900665,85.30502600001637,86.11875966703519,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,86.1248829170363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,9,49,up,0.5,-3.0,-3.0,-30,86.11943762504961,86.1248829170363,86.1248829170363,86.61524012498558,86.61524012498558,86.68754066701513,86.68754066701513,86.68754066701513,86.62096483400092,87.20786466693971,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,87.21435337502044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,9,50,down,0.5,-2.5,-2.5,-30,87.20850291696843,87.21435337502044,87.21435337502044,87.70500737498514,87.70500737498514,87.781940249959,87.781940249959,87.781940249959,87.70500737498514,88.35206175001804,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,88.35814312496223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,9,51,up,1,0,0,30,88.35267083405051,88.35814312496223,88.35814312496223,88.84861870901659,88.84861870901659,88.92121758405119,88.92121758405119,88.92121758405119,88.85453383403365,89.30807649996132,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,89.31435608398169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,9,52,up,1,0,0,,89.30870299995877,89.31435608398169,89.31435608398169,89.80536691704765,89.80536691704765,89.88194262504112,89.88194262504112,89.88194262504112,89.80536691704765,90.63500433403533,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,90.64014150004368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,9,53,down,0.25,0.25,0.25,30,90.63564379198942,90.64014150004368,90.64014150004368,91.13189670897555,91.13189670897555,91.20463249995373,91.20463249995373,91.20463249995373,91.137685084017,91.89014612499159,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,91.8976341249654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,10,54,down,0.25,-0.75,-0.75,,91.89078495895956,91.8976341249654,91.8976341249654,92.38855437503662,92.38855437503662,92.4653583340114,92.4653583340114,92.4653583340114,92.38855437503662,92.93547658401076,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,92.94152762496378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,10,55,down,0.5,-0.5,-0.5,,92.93607787496876,92.94152762496378,92.94152762496378,93.43203495896887,93.43203495896887,93.50418295897543,93.50418295897543,93.50418295897543,93.43759879202116,94.03566425002646,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,94.04175912495703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,10,56,up,0.5,-2.5,-2.5,-30,94.03630904201418,94.04175912495703,94.04175912495703,94.53203250002116,94.53203250002116,94.60443062498234,94.60443062498234,94.60443062498234,94.5377485420322,95.25019858404994,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,95.2541395840235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,10,57,up,1,1,1,30,95.2505757920444,95.2541395840235,95.2541395840235,95.74764458404388,95.74764458404388,95.8185540420236,95.8185540420236,95.8185540420236,95.75204008398578,97.72066008404363,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,97.73110191698652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,10,58,up,0.1,0.35,0.35,30,97.72105154197197,97.73110191698652,97.73110191698652,98.21526058402378,98.21526058402378,98.28772104193922,98.28772104193922,98.29854887502734,98.22125270904507,98.75185708398931,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,98.75809966702946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,10,59,up,0.25,-2.25,-2.25,-30,98.75250762503128,98.75809966702946,98.75809966702946,99.24827199999709,99.24827199999709,99.3215772920521,99.3215772920521,99.3215772920521,99.2534837089479,99.75145212502684,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,99.75682174996473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,11,60,up,1,2,2,30,99.75207445898559,99.75682174996473,99.75682174996473,100.24808462499641,100.24808462499641,100.3205964169465,100.3205964169465,100.3205964169465,100.25380449998192,101.55741241702344,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,101.56441570899915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,11,61,down,0.1,-2.35,-2.35,-30,101.55799558397848,101.56441570899915,101.56441570899915,102.05493733403273,102.05493733403273,102.13193675002549,102.13193675002549,102.13193675002549,102.05493733403273,102.77402462495957,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,102.78105750004761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,11,62,up,0.1,0.44999999999999996,0.44999999999999996,30,102.77465212496463,102.78105750004761,102.78105750004761,103.27180491702165,103.27180491702165,103.3484676249791,103.3484676249791,103.3484676249791,103.27180491702165,103.79317566694226,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,103.79765812493861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,11,63,up,0.5,-2.0,-2.0,-30,103.79379804199561,103.79765812493861,103.79765812493861,104.28857733402401,104.28857733402401,104.3652675000485,104.3652675000485,104.37112295895349,104.28857733402401,105.20947104203515,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,105.21426429203711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,11,64,up,0.25,-0.25,-0.25,,105.21008070895914,105.21426429203711,105.21426429203711,105.70534387498628,105.70534387498628,105.78196429205127,105.78196429205127,105.7878525420092,105.70534387498628,106.2576647499809,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,106.26428050000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,11,65,up,0.1,-0.65,-0.65,,106.25825099996291,106.26428050000686,106.26428050000686,106.75501633400563,106.75501633400563,106.83187741704751,106.83187741704751,106.83187741704751,106.75501633400563,107.30246058397461,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
