center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,424.27077437499975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,5,26,up,1,-10,-10,30,424.26259320799727,424.27077437499975,424.75772595799936,424.75772595799936,424.82991445799416,424.82991445799416,425.3322192909982,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,425.34178266600065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,5,27,down,5,-5,-5,-30,425.33346341599827,425.34178266600065,425.8344160829947,425.8344160829947,425.9084232909954,425.9084232909954,426.6326908330011,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,426.65802233299473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,5,28,down,5,-5,-5,,426.63409562499874,426.65802233299473,427.1336315410008,427.1336315410008,427.20802804100094,427.20802804100094,427.76114887499716,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,427.77039616600086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,5,29,up,1,-10,-10,-30,427.7623934160001,427.77039616600086,428.2578743749982,428.2578743749982,428.331006124994,428.331006124994,429.17757437499677,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,429.1880642909964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,6,30,up,2,-7,-7,,429.17954137500055,429.1880642909964,429.6746826659946,429.6746826659946,429.74705691599956,429.74705691599956,430.2607104999988,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,430.2702656249967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,6,31,up,1,-9,-9,30,430.26214912499563,430.2702656249967,430.75823945799493,430.75823945799493,430.8308816659992,430.8308816659992,431.2943309159964,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,431.30414349999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,6,32,down,1,5,5,30,431.2957959159976,431.30414349999774,431.7913840830006,431.7913840830006,431.86357066599885,431.86357066599885,432.62750587499613,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,432.63668291599606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,6,33,up,2,-3,-3,-30,432.62865708299796,432.63668291599606,433.1247036249988,433.1247036249988,433.198100540998,433.198100540998,433.77757629099506,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,433.7871923329949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,6,34,up,2,-3,-3,,433.7788124159997,433.7871923329949,434.27479545799724,434.27479545799724,434.347021374997,434.347021374997,435.1119260409978,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,435.1214074159943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,6,35,up,1,-9,-9,-30,435.11337729099614,435.1214074159943,435.608203374999,435.608203374999,435.6801662500002,435.6801662500002,436.4093778749957,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,436.42555666599947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,7,36,up,2,-5,-5,,436.41084937499545,436.42555666599947,436.9003142500005,436.9003142500005,436.9755421660011,436.9755421660011,437.4611642499949,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,437.47081695799716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,7,37,down,1,-4,-4,,437.46246766599506,437.47081695799716,437.9583169999969,437.9583169999969,438.030321582999,438.030321582999,438.47743491599977,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,438.4868787499945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,7,38,down,1,4,4,30,438.4786072499992,438.4868787499945,438.9749864999976,438.9749864999976,439.0468849159952,439.0468849159952,439.527551332998,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,439.53703283299546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,7,39,down,1,-4,-4,-30,439.5288764579964,439.53703283299546,440.0250218329966,440.0250218329966,440.0982427909985,440.0982427909985,440.5950794159944,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,440.605176457997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,7,40,up,1,-8,-8,30,440.596749874996,440.605176457997,441.09162641599687,441.09162641599687,441.16503337500035,441.16503337500035,441.59478366599797,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,441.6046634999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,7,41,up,1,-8,-8,-30,441.59651095799927,441.6046634999948,442.09172258299805,442.09172258299805,442.16354691599554,442.16354691599554,442.9009480829991,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,442.91094170799624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,8,42,down,1,-5,-5,-30,442.90240429099504,442.91094170799624,443.40125737500057,443.40125737500057,443.47569258300064,443.47569258300064,444.0668647499988,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,444.0918868749941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,8,43,up,1,-7,-7,30,444.06828854099876,444.0918868749941,444.5682987909968,444.5682987909968,444.64233079100086,444.64233079100086,445.133545040997,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,445.15862808299426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,8,44,up,2,-3,-3,,445.1349202079946,445.15862808299426,445.6349855410008,445.6349855410008,445.70907974999864,445.70907974999864,446.14450154099904,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,446.1535315000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,8,45,down,1,3,3,30,446.1456580829981,446.1535315000001,446.6419659999956,446.6419659999956,446.7138746249984,446.7138746249984,447.22950950000086,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,447.2394667080007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,8,46,up,1,-7,-7,-30,447.23104633299954,447.2394667080007,447.7253047080012,447.7253047080012,447.7978714159981,447.7978714159981,448.31136624999635,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,448.3212062909952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,8,47,up,0.5,-3.5,-3.5,,448.312802249995,448.3212062909952,448.8087284159992,448.8087284159992,448.8806605829959,448.8806605829959,449.4286269160002,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,449.43866058300046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,9,48,up,2,-1,-1,,449.43026333300077,449.43866058300046,449.92539579099684,449.92539579099684,449.99823800000013,449.99823800000013,450.6433555409967,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,450.6593456249975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,9,49,up,0.5,-3.0,-3.0,,450.64514587499434,450.6593456249975,451.13478545799444,451.13478545799444,451.20920945800026,451.20920945800026,451.6282457079942,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,451.6377459159994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,9,50,down,0.5,-7.5,-7.5,-30,451.62951179099764,451.6377459159994,452.1244257079961,452.1244257079961,452.19790966599976,452.19790966599976,452.6948165829963,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,452.7042854159954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,9,51,up,1,-6,-6,30,452.6962074580006,452.7042854159954,453.1921622500013,453.1921622500013,453.26407795799605,453.26407795799605,453.91866737500095,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,453.9283311249965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,9,52,up,0.5,3.5,3.5,30,453.91991587499797,453.9283311249965,454.417627332994,454.417627332994,454.4926654160008,454.4926654160008,454.9954229579962,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,455.005055499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,9,53,up,0.5,-4.5,-4.5,-30,454.99698070799786,455.005055499998,455.49227762499504,455.49227762499504,455.5645809159978,455.5645809159978,456.4854677080002,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,456.4949889999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,10,54,up,0.5,-4.0,-4.0,-30,456.4867807499977,456.4949889999989,456.98448904099496,456.98448904099496,457.05929187499714,457.05929187499714,457.61299020799925,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,457.62308429100085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,10,55,up,0.5,-7.0,-7.0,-30,457.61457729099493,457.62308429100085,458.1090927080004,458.1090927080004,458.1813740409998,458.1813740409998,458.84529108299466,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,458.85543629099993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,10,56,up,2,1,1,,458.8471044580001,458.85543629099993,459.3423282079966,459.3423282079966,459.4153507909941,459.4153507909941,459.90005449999444,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,459.90939391600114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,10,57,up,1,-5,-5,30,459.9013733749962,459.90939391600114,460.40116991599643,460.40116991599643,460.4816995000001,460.4816995000001,461.06230158299877,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,461.0714088329987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,10,58,up,0.5,-2.5,-2.5,,461.06343195799855,461.0714088329987,461.55905012499716,461.55905012499716,461.63102849999996,461.63102849999996,462.6952014999988,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,462.7042719999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,10,59,up,0.5,4.0,4.0,30,462.6964875409976,462.7042719999954,463.1924940829995,463.1924940829995,463.26429991599434,463.26429991599434,464.0621963749945,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,464.0728385409966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,11,60,up,0.5,-2.0,-2.0,,464.0642627909983,464.0728385409966,464.55921687500086,464.55921687500086,464.6310991249993,464.6310991249993,465.4287332499953,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,465.438357291001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,11,61,down,1,0,0,,465.4301550829987,465.438357291001,465.9258976659985,465.9258976659985,465.9982296659946,465.9982296659946,466.82234400000016,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,466.82829949999723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,11,62,up,0.5,-6.5,-6.5,-30,466.82350170800055,466.82829949999723,467.3180003749949,467.3180003749949,467.3934472499968,467.3934472499968,467.9166722500013,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,467.9258039999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,11,63,up,0.5,-3.5,-3.5,-30,467.9177858330004,467.9258039999986,468.417999958001,468.417999958001,468.4933831659946,468.4933831659946,469.12859204100096,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,469.1378769579969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,11,64,up,1,-4,-4,30,469.12988508299895,469.1378769579969,469.6261190000005,469.6261190000005,469.7000943749954,469.7000943749954,470.24625554099475,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,470.25602483299735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,11,65,down,0.5,3.5,3.5,30,470.24768737499835,470.25602483299735,470.7427252079942,470.7427252079942,470.814991457999,470.814991457999,471.4016063329982,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,471.41165499999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,12,66,up,0.5,4.0,4.0,30,471.4027964159977,471.41165499999624,471.9020983329974,471.9020983329974,471.97662829099863,471.97662829099863,472.46196858299663,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,472.4710088329957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,12,67,down,1,-1,-1,,472.4631101249979,472.4710088329957,472.95945666599437,472.95945666599437,473.0323524159976,473.0323524159976,474.7509343749989,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,474.7597387909991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,12,68,down,0.5,-7.0,-7.0,-30,474.7522501249987,474.7597387909991,475.2524199999971,475.2524199999971,475.3268323329976,475.3268323329976,475.946348999998,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
